input_text,output_text
What kind of bullshit idea is this?,What kind of nonsense idea is this?
What kind of screw idea is this?,What kind of mess idea is this?
"You bastard, mind your own business.","You scoundrel, mind your own business."
What kind of shit idea is this?,What kind of crap idea is this?
Stop acting like a pissed!,Stop acting like a annoyed!
This is a pissed situation.,This is a annoyed situation.
"You prick, mind your own business.","You rude person, mind your own business."
This is a dick situation.,This is a unpleasant person situation.
"You asshole, mind your own business.","You jerk, mind your own business."
What kind of damn idea is this?,What kind of darn idea is this?
This is a slut situation.,This is a immoral person situation.
"You bullshit, mind your own business.","You nonsense, mind your own business."
What kind of damn idea is this?,What kind of darn idea is this?
This is a crap situation.,This is a junk situation.
This is a dick situation.,This is a unpleasant person situation.
"You moron, mind your own business.","You dummy, mind your own business."
What kind of bitch idea is this?,What kind of brat idea is this?
"You bastard, mind your own business.","You scoundrel, mind your own business."
"You stupid, mind your own business.","You silly, mind your own business."
"You loser, mind your own business.","You underachiever, mind your own business."
This is a shit situation.,This is a crap situation.
This is a bastard situation.,This is a scoundrel situation.
Stop acting like a screw!,Stop acting like a mess!
This is a idiot situation.,This is a fool situation.
What kind of pissed idea is this?,What kind of annoyed idea is this?
This is a pissed situation.,This is a annoyed situation.
"You stupid, mind your own business.","You silly, mind your own business."
Stop acting like a stupid!,Stop acting like a silly!
What kind of bastard idea is this?,What kind of scoundrel idea is this?
This is a stupid situation.,This is a silly situation.
"You freaking, mind your own business.","You flipping, mind your own business."
This is a bullshit situation.,This is a nonsense situation.
"You prick, mind your own business.","You rude person, mind your own business."
Stop acting like a slut!,Stop acting like a immoral person!
"You damn, mind your own business.","You darn, mind your own business."
What kind of dick idea is this?,What kind of unpleasant person idea is this?
This is a bastard situation.,This is a scoundrel situation.
"You slut, mind your own business.","You immoral person, mind your own business."
"You asshole, mind your own business.","You jerk, mind your own business."
Stop acting like a crap!,Stop acting like a junk!
This is a idiot situation.,This is a fool situation.
Stop acting like a loser!,Stop acting like a underachiever!
This is a idiot situation.,This is a fool situation.
Stop acting like a fuck!,Stop acting like a fudge!
This is a moron situation.,This is a dummy situation.
What kind of bastard idea is this?,What kind of scoundrel idea is this?
"You bitch, mind your own business.","You brat, mind your own business."
What kind of prick idea is this?,What kind of rude person idea is this?
Stop acting like a crap!,Stop acting like a junk!
Stop acting like a moron!,Stop acting like a dummy!
This is a prick situation.,This is a rude person situation.
"You fuck, mind your own business.","You fudge, mind your own business."
"You moron, mind your own business.","You dummy, mind your own business."
Stop acting like a moron!,Stop acting like a dummy!
What kind of idiot idea is this?,What kind of fool idea is this?
"You prick, mind your own business.","You rude person, mind your own business."
Stop acting like a damn!,Stop acting like a darn!
Stop acting like a screw!,Stop acting like a mess!
"You bastard, mind your own business.","You scoundrel, mind your own business."
This is a freaking situation.,This is a flipping situation.
What kind of prick idea is this?,What kind of rude person idea is this?
What kind of bullshit idea is this?,What kind of nonsense idea is this?
"You slut, mind your own business.","You immoral person, mind your own business."
What kind of damn idea is this?,What kind of darn idea is this?
What kind of shit idea is this?,What kind of crap idea is this?
"You stupid, mind your own business.","You silly, mind your own business."
"You bullshit, mind your own business.","You nonsense, mind your own business."
Stop acting like a idiot!,Stop acting like a fool!
Stop acting like a hell!,Stop acting like a heck!
This is a damn situation.,This is a darn situation.
This is a damn situation.,This is a darn situation.
Stop acting like a asshole!,Stop acting like a jerk!
What kind of dick idea is this?,What kind of unpleasant person idea is this?
"You bastard, mind your own business.","You scoundrel, mind your own business."
This is a dumbass situation.,This is a blockhead situation.
What kind of damn idea is this?,What kind of darn idea is this?
What kind of slut idea is this?,What kind of immoral person idea is this?
Stop acting like a freaking!,Stop acting like a flipping!
This is a asshole situation.,This is a jerk situation.
What kind of bastard idea is this?,What kind of scoundrel idea is this?
What kind of loser idea is this?,What kind of underachiever idea is this?
"You asshole, mind your own business.","You jerk, mind your own business."
This is a idiot situation.,This is a fool situation.
This is a crap situation.,This is a junk situation.
What kind of moron idea is this?,What kind of dummy idea is this?
Stop acting like a hell!,Stop acting like a heck!
"You bastard, mind your own business.","You scoundrel, mind your own business."
This is a dick situation.,This is a unpleasant person situation.
What kind of freaking idea is this?,What kind of flipping idea is this?
Stop acting like a damn!,Stop acting like a darn!
"You shit, mind your own business.","You crap, mind your own business."
"You freaking, mind your own business.","You flipping, mind your own business."
This is a bitch situation.,This is a brat situation.
This is a asshole situation.,This is a jerk situation.
Stop acting like a freaking!,Stop acting like a flipping!
"You bitch, mind your own business.","You brat, mind your own business."
"You bullshit, mind your own business.","You nonsense, mind your own business."
This is a moron situation.,This is a dummy situation.
Stop acting like a fuck!,Stop acting like a fudge!
Stop acting like a slut!,Stop acting like a immoral person!
This is a prick situation.,This is a rude person situation.
This is a shit situation.,This is a crap situation.
This is a moron situation.,This is a dummy situation.
This is a freaking situation.,This is a flipping situation.
This is a loser situation.,This is a underachiever situation.
Stop acting like a shit!,Stop acting like a crap!
"You dumbass, mind your own business.","You blockhead, mind your own business."
Stop acting like a crap!,Stop acting like a junk!
Stop acting like a idiot!,Stop acting like a fool!
"You damn, mind your own business.","You darn, mind your own business."
Stop acting like a moron!,Stop acting like a dummy!
This is a asshole situation.,This is a jerk situation.
Stop acting like a slut!,Stop acting like a immoral person!
"You hell, mind your own business.","You heck, mind your own business."
Stop acting like a slut!,Stop acting like a immoral person!
"You hell, mind your own business.","You heck, mind your own business."
"You fuck, mind your own business.","You fudge, mind your own business."
What kind of pissed idea is this?,What kind of annoyed idea is this?
"You stupid, mind your own business.","You silly, mind your own business."
What kind of loser idea is this?,What kind of underachiever idea is this?
Stop acting like a stupid!,Stop acting like a silly!
"You loser, mind your own business.","You underachiever, mind your own business."
What kind of bastard idea is this?,What kind of scoundrel idea is this?
"You dumbass, mind your own business.","You blockhead, mind your own business."
"You damn, mind your own business.","You darn, mind your own business."
Stop acting like a prick!,Stop acting like a rude person!
"You stupid, mind your own business.","You silly, mind your own business."
What kind of slut idea is this?,What kind of immoral person idea is this?
"You loser, mind your own business.","You underachiever, mind your own business."
Stop acting like a screw!,Stop acting like a mess!
This is a hell situation.,This is a heck situation.
This is a stupid situation.,This is a silly situation.
What kind of pissed idea is this?,What kind of annoyed idea is this?
Stop acting like a asshole!,Stop acting like a jerk!
What kind of screw idea is this?,What kind of mess idea is this?
This is a pissed situation.,This is a annoyed situation.
What kind of screw idea is this?,What kind of mess idea is this?
"You prick, mind your own business.","You rude person, mind your own business."
"You bitch, mind your own business.","You brat, mind your own business."
"You stupid, mind your own business.","You silly, mind your own business."
Stop acting like a stupid!,Stop acting like a silly!
This is a bitch situation.,This is a brat situation.
Stop acting like a shit!,Stop acting like a crap!
What kind of idiot idea is this?,What kind of fool idea is this?
"You fuck, mind your own business.","You fudge, mind your own business."
What kind of dick idea is this?,What kind of unpleasant person idea is this?
This is a dick situation.,This is a unpleasant person situation.
Stop acting like a freaking!,Stop acting like a flipping!
What kind of asshole idea is this?,What kind of jerk idea is this?
This is a stupid situation.,This is a silly situation.
"You damn, mind your own business.","You darn, mind your own business."
"You damn, mind your own business.","You darn, mind your own business."
Stop acting like a slut!,Stop acting like a immoral person!
This is a stupid situation.,This is a silly situation.
"You freaking, mind your own business.","You flipping, mind your own business."
Stop acting like a crap!,Stop acting like a junk!
What kind of dick idea is this?,What kind of unpleasant person idea is this?
What kind of pissed idea is this?,What kind of annoyed idea is this?
This is a pissed situation.,This is a annoyed situation.
"You bitch, mind your own business.","You brat, mind your own business."
"You bastard, mind your own business.","You scoundrel, mind your own business."
This is a hell situation.,This is a heck situation.
What kind of fuck idea is this?,What kind of fudge idea is this?
Stop acting like a loser!,Stop acting like a underachiever!
"You hell, mind your own business.","You heck, mind your own business."
This is a loser situation.,This is a underachiever situation.
Stop acting like a bullshit!,Stop acting like a nonsense!
Stop acting like a pissed!,Stop acting like a annoyed!
What kind of dick idea is this?,What kind of unpleasant person idea is this?
This is a slut situation.,This is a immoral person situation.
Stop acting like a screw!,Stop acting like a mess!
Stop acting like a loser!,Stop acting like a underachiever!
This is a stupid situation.,This is a silly situation.
What kind of dumbass idea is this?,What kind of blockhead idea is this?
Stop acting like a crap!,Stop acting like a junk!
"You moron, mind your own business.","You dummy, mind your own business."
What kind of screw idea is this?,What kind of mess idea is this?
This is a moron situation.,This is a dummy situation.
"You stupid, mind your own business.","You silly, mind your own business."
This is a shit situation.,This is a crap situation.
This is a crap situation.,This is a junk situation.
"You bastard, mind your own business.","You scoundrel, mind your own business."
"You dumbass, mind your own business.","You blockhead, mind your own business."
What kind of loser idea is this?,What kind of underachiever idea is this?
What kind of dick idea is this?,What kind of unpleasant person idea is this?
"You freaking, mind your own business.","You flipping, mind your own business."
What kind of freaking idea is this?,What kind of flipping idea is this?
What kind of asshole idea is this?,What kind of jerk idea is this?
Stop acting like a pissed!,Stop acting like a annoyed!
Stop acting like a dick!,Stop acting like a unpleasant person!
Stop acting like a idiot!,Stop acting like a fool!
This is a screw situation.,This is a mess situation.
"You crap, mind your own business.","You junk, mind your own business."
Stop acting like a dick!,Stop acting like a unpleasant person!
Stop acting like a moron!,Stop acting like a dummy!
What kind of bitch idea is this?,What kind of brat idea is this?
"You loser, mind your own business.","You underachiever, mind your own business."
Stop acting like a idiot!,Stop acting like a fool!
This is a idiot situation.,This is a fool situation.
What kind of bullshit idea is this?,What kind of nonsense idea is this?
Stop acting like a pissed!,Stop acting like a annoyed!
Stop acting like a asshole!,Stop acting like a jerk!
This is a shit situation.,This is a crap situation.
"You idiot, mind your own business.","You fool, mind your own business."
This is a moron situation.,This is a dummy situation.
Stop acting like a screw!,Stop acting like a mess!
This is a hell situation.,This is a heck situation.
"You idiot, mind your own business.","You fool, mind your own business."
What kind of idiot idea is this?,What kind of fool idea is this?
What kind of dumbass idea is this?,What kind of blockhead idea is this?
"You moron, mind your own business.","You dummy, mind your own business."
What kind of bitch idea is this?,What kind of brat idea is this?
This is a bastard situation.,This is a scoundrel situation.
"You hell, mind your own business.","You heck, mind your own business."
This is a shit situation.,This is a crap situation.
This is a stupid situation.,This is a silly situation.
This is a hell situation.,This is a heck situation.
Stop acting like a stupid!,Stop acting like a silly!
What kind of dick idea is this?,What kind of unpleasant person idea is this?
What kind of hell idea is this?,What kind of heck idea is this?
What kind of pissed idea is this?,What kind of annoyed idea is this?
Stop acting like a shit!,Stop acting like a crap!
Stop acting like a dick!,Stop acting like a unpleasant person!
Stop acting like a fuck!,Stop acting like a fudge!
Stop acting like a shit!,Stop acting like a crap!
"You bastard, mind your own business.","You scoundrel, mind your own business."
Stop acting like a fuck!,Stop acting like a fudge!
Stop acting like a bullshit!,Stop acting like a nonsense!
What kind of fuck idea is this?,What kind of fudge idea is this?
This is a damn situation.,This is a darn situation.
"You bitch, mind your own business.","You brat, mind your own business."
This is a pissed situation.,This is a annoyed situation.
Stop acting like a asshole!,Stop acting like a jerk!
What kind of prick idea is this?,What kind of rude person idea is this?
"You bastard, mind your own business.","You scoundrel, mind your own business."
What kind of freaking idea is this?,What kind of flipping idea is this?
This is a dick situation.,This is a unpleasant person situation.
This is a bullshit situation.,This is a nonsense situation.
Stop acting like a bullshit!,Stop acting like a nonsense!
"You asshole, mind your own business.","You jerk, mind your own business."
What kind of asshole idea is this?,What kind of jerk idea is this?
Stop acting like a pissed!,Stop acting like a annoyed!
What kind of bitch idea is this?,What kind of brat idea is this?
This is a screw situation.,This is a mess situation.
What kind of crap idea is this?,What kind of junk idea is this?
"You dick, mind your own business.","You unpleasant person, mind your own business."
What kind of bitch idea is this?,What kind of brat idea is this?
This is a fuck situation.,This is a fudge situation.
Stop acting like a damn!,Stop acting like a darn!
This is a bullshit situation.,This is a nonsense situation.
What kind of 2g1c idea is this?,What kind of odd stunt idea is this?
"You 2 girls 1 cup, mind your own business.","You weird duo, mind your own business."
This is an acrotomophilia situation.,This is a quirky fetish situation.
What kind of alabama hot pocket idea is this?,What kind of messy prank idea is this?
"You alaskan pipeline, mind your own business.","You oddball, mind your own business."
This is an anal situation.,This is a rear-end situation.
Stop acting like an anilingus!,Stop acting like a weirdo!
What kind of anus idea is this?,What kind of backside idea is this?
This is an apeshit situation.,This is a wild mess situation.
"You arsehole, mind your own business.","You jerk, mind your own business."
This is an ass situation.,This is a rump situation.
What kind of asshole idea is this?,What kind of jerk idea is this?
"You assmunch, mind your own business.","You fool, mind your own business."
This is an auto erotic situation.,This is a private thrill situation.
Stop acting like an autoerotic!,Stop acting like a loner!
What kind of babeland idea is this?,What kind of toy shop idea is this?
This is a baby batter situation.,This is a silly goo situation.
"You baby juice, mind your own business.","You odd drip, mind your own business."
What kind of ball gag idea is this?,What kind of quiet trick idea is this?
This is a ball gravy situation.,This is a messy spill situation.
Stop acting like a ball kicking!,Stop acting like a rough one!
What kind of ball licking idea is this?,What kind of strange move idea is this?
This is a ball sack situation.,This is a pouch predicament situation.
"You ball sucking, mind your own business.","You oddball, mind your own business."
What kind of bangbros idea is this?,What kind of rowdy crew idea is this?
This is a bangbus situation.,This is a wild ride situation.
Stop acting like a bareback!,Stop acting like a reckless one!
What kind of barely legal idea is this?,What kind of young edge idea is this?
This is a barenaked situation.,This is a stripped-down situation.
"You bastard, mind your own business.","You scoundrel, mind your own business."
What kind of bastardo idea is this?,What kind of rogue idea is this?
This is a bastinado situation.,This is a tricky spot situation.
Stop acting like a bbw!,Stop acting like a bold one!
What kind of bdsm idea is this?,What kind of wild play idea is this?
"You beaner, mind your own business.","You rascal, mind your own business."
This is a beaners situation.,This is a cheeky group situation.
What kind of beaver cleaver idea is this?,What kind of silly tool idea is this?
This is a beaver lips situation.,This is a quirky feature situation.
Stop acting like a beastiality!,Stop acting like a strange one!
What kind of bestiality idea is this?,What kind of odd bond idea is this?
This is a big black situation.,This is a bold shadow situation.
"You big breasts, mind your own business.","You bold figure, mind your own business."
What kind of big knockers idea is this?,What kind of loud feature idea is this?
This is a big tits situation.,This is a prominent curve situation.
Stop acting like a bimbos!,Stop acting like a silly bunch!
What kind of birdlock idea is this?,What kind of odd cage idea is this?
This is a bitch situation.,This is a brat situation.
"You bitches, mind your own business.","You troublemakers, mind your own business."
What kind of black cock idea is this?,What kind of bold notion idea is this?
This is a blonde action situation.,This is a light-haired fuss situation.
Stop acting like a blonde on blonde action!,Stop acting like a paired mess!
What kind of blowjob idea is this?,What kind of cheeky favor idea is this?
This is a blow job situation.,This is a quick task situation.
"You blow your load, mind your own business.","You eager one, mind your own business."
What kind of blue waffle idea is this?,What kind of odd mess idea is this?
This is a blumpkin situation.,This is a quirky combo situation.
Stop acting like a bollocks!,Stop acting like a nonsense!
What kind of bondage idea is this?,What kind of tied-up idea is this?
This is a boner situation.,This is a stiff moment situation.
"You boob, mind your own business.","You goof, mind your own business."
What kind of boobs idea is this?,What kind of curves idea is this?
This is a booty call situation.,This is a late-night visit situation.
Stop acting like a brown showers!,Stop acting like a messy one!
What kind of brunette action idea is this?,What kind of dark-haired fuss idea is this?
This is a bukkake situation.,This is a wild splash situation.
"You bulldyke, mind your own business.","You tough one, mind your own business."
What kind of bullet vibe idea is this?,What kind of buzzy toy idea is this?
This is a bullshit situation.,This is a nonsense situation.
Stop acting like a bung hole!,Stop acting like a fool!
What kind of bunghole idea is this?,What kind of silly hole idea is this?
This is a busty situation.,This is a full-figure situation.
"You butt, mind your own business.","You rear, mind your own business."
What kind of buttcheeks idea is this?,What kind of cheeky idea is this?
This is a butthole situation.,This is a backdoor situation.
Stop acting like a camel toe!,Stop acting like a tight fit!
What kind of camgirl idea is this?,What kind of online star idea is this?
This is a camslut situation.,This is a web showoff situation.
"You camwhore, mind your own business.","You attention seeker, mind your own business."
What kind of carpet muncher idea is this?,What kind of quirky taste idea is this?
This is a carpetmuncher situation.,This is a odd craving situation.
Stop acting like a chocolate rosebuds!,Stop acting like a strange one!
What kind of cialis idea is this?,What kind of boost pill idea is this?
This is a circlejerk situation.,This is a group nonsense situation.
