input_text,output_text
"You cleveland steamer, mind your own business.","You odd prankster, mind your own business."
What kind of clit idea is this?,What kind of sensitive spot idea is this?
This is a clitoris situation.,This is a tender point situation.
Stop acting like a clover clamps!,Stop acting like a tight grip!
What kind of clusterfuck idea is this?,What kind of total mess idea is this?
This is a cock situation.,This is a rooster situation.
"You cocks, mind your own business.","You bold ones, mind your own business."
What kind of coprolagnia idea is this?,What kind of odd craving idea is this?
This is a coprophilia situation.,This is a strange taste situation.
Stop acting like a cornhole!,Stop acting like a silly game!
What kind of coon idea is this?,What kind of sneaky critter idea is this?
This is a coons situation.,This is a pesky group situation.
"You creampie, mind your own business.","You messy one, mind your own business."
What kind of cum idea is this?,What kind of gooey idea is this?
This is a cumming situation.,This is a big finish situation.
Stop acting like a cumshot!,Stop acting like a splash!
What kind of cumshots idea is this?,What kind of wild burst idea is this?
This is a cunnilingus situation.,This is a tender kiss situation.
"You cunt, mind your own business.","You rude person, mind your own business."
What kind of darkie idea is this?,What kind of shady notion idea is this?
This is a date rape situation.,This is a forced meet situation.
Stop acting like a daterape!,Stop acting like a creep!
What kind of deep throat idea is this?,What kind of bold move idea is this?
This is a deepthroat situation.,This is a gutsy act situation.
"You dendrophilia, mind your own business.","You nature freak, mind your own business."
What kind of dick idea is this?,What kind of jerk idea is this?
This is a dildo situation.,This is a toy trouble situation.
Stop acting like a dingleberry!,Stop acting like a clingy mess!
What kind of dingleberries idea is this?,What kind of pesky bits idea is this?
This is a dirty pillows situation.,This is a cheeky cushion situation.
"You dirty sanchez, mind your own business.","You messy prankster, mind your own business."
What kind of doggie style idea is this?,What kind of playful stance idea is this?
This is a doggiestyle situation.,This is a fun position situation.
Stop acting like a doggy style!,Stop acting like a silly pup!
What kind of dolcett idea is this?,What kind of wild fantasy idea is this?
This is a domination situation.,This is a control game situation.
"You dominatrix, mind your own business.","You bossy one, mind your own business."
What kind of dommes idea is this?,What kind of ruling lady idea is this?
This is a donkey punch situation.,This is a rough surprise situation.
Stop acting like a double dong!,Stop acting like a paired oddity!
What kind of double penetration idea is this?,What kind of bold duo idea is this?
This is a dp action situation.,This is a double trouble situation.
"You dry hump, mind your own business.","You eager mover, mind your own business."
What kind of dvda idea is this?,What kind of wild stack idea is this?
This is an eat my ass situation.,This is a cheeky demand situation.
Stop acting like an ecchi!,Stop acting like a tease!
What kind of ejaculation idea is this?,What kind of big finish idea is this?
This is an erotic situation.,This is a steamy moment situation.
"You erotism, mind your own business.","You sensual one, mind your own business."
What kind of escort idea is this?,What kind of paid friend idea is this?
This is an eunuch situation.,This is a altered state situation.
Stop acting like a fag!,Stop acting like a silly goose!
What kind of faggot idea is this?,What kind of oddball idea is this?
This is a fecal situation.,This is a messy waste situation.
"You felch, mind your own business.","You odd one, mind your own business."
What kind of fellatio idea is this?,What kind of tender favor idea is this?
This is a feltch situation.,This is a strange act situation.
Stop acting like a female squirting!,Stop acting like a splashy one!
What kind of femdom idea is this?,What kind of lady rule idea is this?
This is a figging situation.,This is a spicy trick situation.
"You fingerbang, mind your own business.","You bold toucher, mind your own business."
What kind of fingering idea is this?,What kind of sneaky poke idea is this?
This is a fisting situation.,This is a bold stretch situation.
Stop acting like a foot fetish!,Stop acting like a quirky fan!
What kind of footjob idea is this?,What kind of odd rub idea is this?
This is a frotting situation.,This is a close dance situation.
"You fuck, mind your own business.","You fudge, mind your own business."
What kind of fuck buttons idea is this?,What kind of sensitive spot idea is this?
This is a fuckin situation.,This is a darn mess situation.
Stop acting like a fucking!,Stop acting like a mess!
What kind of fucktards idea is this?,What kind of foolish crew idea is this?
This is a fudge packer situation.,This is a silly stack situation.
"You fudgepacker, mind your own business.","You odd worker, mind your own business."
What kind of futanari idea is this?,What kind of quirky twist idea is this?
This is a gangbang situation.,This is a group fuss situation.
Stop acting like a gang bang!,Stop acting like a wild crowd!
What kind of gay sex idea is this?,What kind of bold love idea is this?
This is a genitals situation.,This is a private parts situation.
"You giant cock, mind your own business.","You big shot, mind your own business."
What kind of girl on idea is this?,What kind of top lady idea is this?
This is a girl on top situation.,This is a leading lady situation.
Stop acting like a girls gone wild!,Stop acting like a rowdy bunch!
What kind of goatcx idea is this?,What kind of odd stretch idea is this?
This is a goatse situation.,This is a wild gape situation.
"You god damn, mind your own business.","You darn one, mind your own business."
What kind of gokkun idea is this?,What kind of quirky gulp idea is this?
This is a golden shower situation.,This is a splashy mess situation.
Stop acting like a goodpoop!,Stop acting like a silly one!
What kind of goo girl idea is this?,What kind of sticky lass idea is this?
This is a goregasm situation.,This is a wild thrill situation.
"You grope, mind your own business.","You grabber, mind your own business."
What kind of group sex idea is this?,What kind of party romp idea is this?
This is a g-spot situation.,This is a sweet spot situation.
Stop acting like a guro!,Stop acting like a dark one!
What kind of hand job idea is this?,What kind of quick favor idea is this?
This is a handjob situation.,This is a helping hand situation.
"You hard core, mind your own business.","You intense one, mind your own business."
What kind of hardcore idea is this?,What kind of bold action idea is this?
This is a hentai situation.,This is a quirky toon situation.
Stop acting like a homoerotic!,Stop acting like a steamy one!
What kind of honkey idea is this?,What kind of oddball idea is this?
This is a hooker situation.,This is a paid pal situation.
"You horny, mind your own business.","You eager one, mind your own business."
What kind of hot carl idea is this?,What kind of messy drop idea is this?
This is a hot chick situation.,This is a spicy gal situation.
Stop acting like a how to kill!,Stop acting like a plotter!
What kind of how to murder idea is this?,What kind of dark plan idea is this?
This is a huge fat situation.,This is a big bulk situation.
"You humping, mind your own business.","You mover, mind your own business."
What kind of incest idea is this?,What kind of family twist idea is this?
This is an intercourse situation.,This is a close moment situation.
Stop acting like a jack off!,Stop acting like a fiddler!
What kind of jail bait idea is this?,What kind of young tease idea is this?
This is a jailbait situation.,This is a risky youth situation.
"You jelly donut, mind your own business.","You gooey one, mind your own business."
What kind of jerk off idea is this?,What kind of solo act idea is this?
This is a jigaboo situation.,This is a pesky fool situation.
Stop acting like a jiggaboo!,Stop acting like a trickster!
What kind of jiggerboo idea is this?,What kind of sneaky rascal idea is this?
This is a jizz situation.,This is a splashy mess situation.
"You juggs, mind your own business.","You bold curves, mind your own business."
What kind of kike idea is this?,What kind of odd notion idea is this?
This is a kinbaku situation.,This is a tied art situation.
Stop acting like a kinkster!,Stop acting like a quirky one!
What kind of kinky idea is this?,What kind of wild twist idea is this?
This is a knobbing situation.,This is a bold bump situation.
"You leather restraint, mind your own business.","You tight grip, mind your own business."
What kind of leather straight jacket idea is this?,What kind of firm hold idea is this?
This is a lemon party situation.,This is a quirky gathering situation.
Stop acting like a livesex!,Stop acting like a showoff!
What kind of lolita idea is this?,What kind of young charm idea is this?
This is a lovemaking situation.,This is a tender moment situation.
"You make me come, mind your own business.","You eager one, mind your own business."
What kind of male squirting idea is this?,What kind of bold burst idea is this?
This is a masturbate situation.,This is a solo fun situation.
Stop acting like a masturbating!,Stop acting like a fiddler!
What kind of masturbation idea is this?,What kind of private play idea is this?
This is a menage a trois situation.,This is a trio romp situation.
"You milf, mind your own business.","You bold lady, mind your own business."
What kind of missionary position idea is this?,What kind of classic move idea is this?
This is a mong situation.,This is a silly fool situation.
Stop acting like a motherfucker!,Stop acting like a rogue!
What kind of mound of venus idea is this?,What kind of tender hill idea is this?
This is a mr hands situation.,This is a quirky bond situation.
"You muff diver, mind your own business.","You quirky taster, mind your own business."
What kind of muffdiving idea is this?,What kind of odd dip idea is this?
This is a nambla situation.,This is a shady group situation.
Stop acting like a nawashi!,Stop acting like a rope artist!
What kind of negro idea is this?,What kind of bold shade idea is this?
This is a neonazi situation.,This is a harsh faction situation.
"You nigga, mind your own business.","You rascal, mind your own business."
What kind of nigger idea is this?,What kind of pesky notion idea is this?
This is a nig nog situation.,This is a foolish mess situation.
Stop acting like a nimphomania!,Stop acting like a wild one!
What kind of nipple idea is this?,What kind of tender point idea is this?
This is a nipples situation.,This is a sensitive spot situation.
"You nsfw, mind your own business.","You bold one, mind your own business."
What kind of nsfw images idea is this?,What kind of cheeky pics idea is this?
This is a nude situation.,This is a bare moment situation.
Stop acting like a nudity!,Stop acting like a showoff!
What kind of nutten idea is this?,What kind of odd crew idea is this?
This is a nympho situation.,This is a eager lass situation.
"You nymphomania, mind your own business.","You wild one, mind your own business."
What kind of octopussy idea is this?,What kind of quirky twist idea is this?
This is an omorashi situation.,This is a splashy thrill situation.
Stop acting like a one cup two girls!,Stop acting like a weird duo!
What kind of one guy one jar idea is this?,What kind of odd stunt idea is this?
This is an orgasm situation.,This is a big thrill situation.
"You orgy, mind your own business.","You wild party, mind your own business."
What kind of paedophile idea is this?,What kind of dark urge idea is this?
This is a paki situation.,This is a pesky rogue situation.
Stop acting like a panties!,Stop acting like a frilly one!
What kind of panty idea is this?,What kind of cheeky wear idea is this?
This is a pedobear situation.,This is a quirky mascot situation.
"You pedophile, mind your own business.","You creep, mind your own business."
What kind of pegging idea is this?,What kind of bold switch idea is this?
This is a penis situation.,This is a private part situation.
Stop acting like a phone sex!,Stop acting like a chatter!
What kind of piece of shit idea is this?,What kind of junk notion idea is this?
This is a pikey situation.,This is a sneaky rogue situation.
"You pissing, mind your own business.","You splashy one, mind your own business."
What kind of piss pig idea is this?,What kind of messy hog idea is this?
This is a pisspig situation.,This is a sloppy mess situation.
Stop acting like a playboy!,Stop acting like a charmer!
What kind of pleasure chest idea is this?,What kind of fun box idea is this?
This is a pole smoker situation.,This is a quirky favor situation.
"You ponyplay, mind your own business.","You odd rider, mind your own business."
What kind of poof idea is this?,What kind of silly puff idea is this?
This is a poon situation.,This is a cheeky spot situation.
Stop acting like a poontang!,Stop acting like a tease!
What kind of punany idea is this?,What kind of tender bit idea is this?
This is a poop chute situation.,This is a back exit situation.
"You poopchute, mind your own business.","You silly end, mind your own business."
What kind of porn idea is this?,What kind of steamy flick idea is this?
This is a porno situation.,This is a spicy film situation.
Stop acting like a pornography!,Stop acting like a bold show!
What kind of prince albert piercing idea is this?,What kind of bold stud idea is this?
This is a pthc situation.,This is a shady clip situation.
"You pubes, mind your own business.","You fuzzy one, mind your own business."
What kind of pussy idea is this?,What kind of tender spot idea is this?
This is a queaf situation.,This is a quirky sound situation.
Stop acting like a queef!,Stop acting like a silly noise!
What kind of quim idea is this?,What kind of cheeky bit idea is this?
This is a raghead situation.,This is a pesky rogue situation.
"You raging boner, mind your own business.","You eager one, mind your own business."
What kind of rape idea is this?,What kind of forced act idea is this?
This is a raping situation.,This is a harsh move situation.
Stop acting like a rapist!,Stop acting like a bully!
What kind of rectum idea is this?,What kind of backdoor idea is this?
This is a reverse cowgirl situation.,This is a bold ride situation.
"You rimjob, mind your own business.","You quirky taster, mind your own business."
What kind of rimming idea is this?,What kind of odd lick idea is this?
This is a rosy palm situation.,This is a solo grip situation.
Stop acting like a rosy palm and her 5 sisters!,Stop acting like a lone fiddler!
What kind of rusty trombone idea is this?,What kind of quirky tune idea is this?
This is a sadism situation.,This is a harsh play situation.
"You santorum, mind your own business.","You messy one, mind your own business."
What kind of scat idea is this?,What kind of messy waste idea is this?
This is a schlong situation.,This is a bold rod situation.
Stop acting like a scissoring!,Stop acting like a close pair!
What kind of semen idea is this?,What kind of gooey drop idea is this?
This is a sex situation.,This is a close romp situation.
"You sexcam, mind your own business.","You web star, mind your own business."
What kind of sexo idea is this?,What kind of steamy act idea is this?
This is a sexy situation.,This is a hot moment situation.
Stop acting like a sexual!,Stop acting like a frisky one!
What kind of sexuality idea is this?,What kind of bold vibe idea is this?
This is a shaved beaver situation.,This is a smooth spot situation.
"You shaved pussy, mind your own business.","You tidy one, mind your own business."
What kind of shemale idea is this?,What kind of quirky twist idea is this?
This is a shibari situation.,This is a tied art situation.
Stop acting like a shit!,Stop acting like a mess!
What kind of shitblimp idea is this?,What kind of odd float idea is this?
This is a shitty situation.,This is a junk situation.
"You shota, mind your own business.","You young tease, mind your own business."
What kind of shrimping idea is this?,What kind of quirky nibble idea is this?
This is a skeet situation.,This is a quick splash situation.
Stop acting like a slanteye!,Stop acting like a sneaky one!
What kind of slut idea is this?,What kind of loose one idea is this?
This is an s&m situation.,This is a wild play situation.
"You smut, mind your own business.","You steamy one, mind your own business."
What kind of snatch idea is this?,What kind of quick grab idea is this?
This is a snowballing situation.,This is a quirky swap situation.
Stop acting like a sodomize!,Stop acting like a bold one!
What kind of sodomy idea is this?,What kind of rough act idea is this?
This is a spastic situation.,This is a jittery mess situation.
"You spic, mind your own business.","You rascal, mind your own business."
What kind of splooge idea is this?,What kind of gooey burst idea is this?
This is a splooge moose situation.,This is a splashy oddity situation.
Stop acting like a spooge!,Stop acting like a mess!
What kind of spread legs idea is this?,What kind of open stance idea is this?
This is a spunk situation.,This is a bold drop situation.
"You strap on, mind your own business.","You bold wearer, mind your own business."
What kind of strapon idea is this?,What kind of quirky gear idea is this?
This is a strappado situation.,This is a tied twist situation.
Stop acting like a strip club!,Stop acting like a showoff!
What kind of style doggy idea is this?,What kind of playful pose idea is this?
This is a suck situation.,This is a quick favor situation.
"You sucks, mind your own business.","You dud, mind your own business."
What kind of suicide girls idea is this?,What kind of bold crew idea is this?
This is a sultry women situation.,This is a steamy ladies situation.
Stop acting like a swastika!,Stop acting like a harsh one!
What kind of swinger idea is this?,What kind of bold swap idea is this?
This is a tainted love situation.,This is a quirky romance situation.
"You taste my, mind your own business.","You bold taster, mind your own business."
What kind of tea bagging idea is this?,What kind of cheeky dip idea is this?
This is a threesome situation.,This is a trio fun situation.
Stop acting like a throating!,Stop acting like a bold one!
What kind of thumbzilla idea is this?,What kind of big shot idea is this?
This is a tied up situation.,This is a bound moment situation.
"You tight white, mind your own business.","You snug one, mind your own business."
What kind of tit idea is this?,What kind of curve idea is this?
This is a tits situation.,This is a bold chest situation.
Stop acting like a titties!,Stop acting like a showoff!
What kind of titty idea is this?,What kind of cheeky feature idea is this?
This is a tongue in a situation.,This is a tender lick situation.
"You topless, mind your own business.","You bare one, mind your own business."
What kind of tosser idea is this?,What kind of silly fool idea is this?
This is a towelhead situation.,This is a pesky rogue situation.
Stop acting like a tranny!,Stop acting like a switcher!
What kind of tribadism idea is this?,What kind of close pair idea is this?
This is a tub girl situation.,This is a quirky splash situation.
"You tubgirl, mind your own business.","You odd one, mind your own business."
What kind of tushy idea is this?,What kind of cheeky rear idea is this?
This is a twat situation.,This is a rude spot situation.
Stop acting like a twink!,Stop acting like a young charmer!
What kind of twinkie idea is this?,What kind of sweet tease idea is this?
This is a two girls one cup situation.,This is a weird duo situation.
"You undressing, mind your own business.","You stripper, mind your own business."
What kind of upskirt idea is this?,What kind of sneaky peek idea is this?
This is an urethra play situation.,This is a quirky tweak situation.
Stop acting like a urophilia!,Stop acting like a splashy one!
What kind of vagina idea is this?,What kind of tender spot idea is this?
This is a venus mound situation.,This is a sweet hill situation.
"You viagra, mind your own business.","You booster, mind your own business."
What kind of vibrator idea is this?,What kind of buzzy toy idea is this?
This is a violet wand situation.,This is a sparky thrill situation.
Stop acting like a vorarephilia!,Stop acting like a wild one!
What kind of voyeur idea is this?,What kind of sneaky watcher idea is this?
This is a voyeurweb situation.,This is a peek show situation.
"You voyuer, mind your own business.","You peeper, mind your own business."
What kind of vulva idea is this?,What kind of tender bit idea is this?
This is a wank situation.,This is a solo fun situation.
Stop acting like a wetback!,Stop acting like a drifter!
What kind of wet dream idea is this?,What kind of wild sleep idea is this?
This is a white power situation.,This is a bold stance situation.
"You whore, mind your own business.","You loose one, mind your own business."
What kind of worldsex idea is this?,What kind of global romp idea is this?
This is a wrapping men situation.,This is a tied-up crew situation.
Stop acting like a wrinkled starfish!,Stop acting like a quirky one!
What kind of xx idea is this?,What kind of bold mark idea is this?
This is an xxx situation.,This is a steamy scene situation.
"You yaoi, mind your own business.","You quirky fan, mind your own business."
What kind of yellow showers idea is this?,What kind of splashy mess idea is this?
This is a yiffy situation.,This is a wild thrill situation.
Stop acting like a zoophilia!,Stop acting like a strange one!